bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename
	11_HTH_CT_5_CEM	11_HTH_CT_5_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	11_HTH_CT_5_CEM_S13_L001_R1_001.fastq.gz
	12_HTH_RB_2_COP	12_HTH_RB_2_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	12_HTH_RB_2_COP_S14_L001_R1_001.fastq.gz
	13_HTH_RB_3_COP	13_HTH_RB_3_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	13_HTH_RB_3_COP_S15_L001_R1_001.fastq.gz
	14_HTH_RB_2_COD	14_HTH_RB_2_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	14_HTH_RB_2_COD_S16_L001_R1_001.fastq.gz
	15_HTH_RB_3_COD	15_HTH_RB_3_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	15_HTH_RB_3_COD_S17_L001_R1_001.fastq.gz
	16_HTH_RB_2_CEM	16_HTH_RB_2_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	16_HTH_RB_2_CEM_S18_L001_R1_001.fastq.gz
	17_HTH_RB_3_CEM	17_HTH_RB_3_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	17_HTH_RB_3_CEM_S19_L001_R1_001.fastq.gz
	18_HTH_RB_4_CEM	18_HTH_RB_4_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	18_HTH_RB_4_CEM_S20_L001_R1_001.fastq.gz
	19_HTH_RB_5_CEM	19_HTH_RB_5_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	19_HTH_RB_5_CEM_S21_L001_R1_001.fastq.gz
	20_HTH_FR_1_COP	20_HTH_FR_1_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	20_HTH_FR_1_COP_S22_L001_R1_001.fastq.gz
	21_HTH_FR_2_COP	21_HTH_FR_2_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	21_HTH_FR_2_COP_S25_L001_R1_001.fastq.gz
	22_HTH_FR_1_COD	22_HTH_FR_1_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	22_HTH_FR_1_COD_S26_L001_R1_001.fastq.gz
	23_HTH_FR_2_COD	23_HTH_FR_2_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	23_HTH_FR_2_COD_S27_L001_R1_001.fastq.gz
	24_HTH_FR_1_CEM	24_HTH_FR_1_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	24_HTH_FR_1_CEM_S28_L001_R1_001.fastq.gz
	25_HTH_FR_2_CEM	25_HTH_FR_2_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	25_HTH_FR_2_CEM_S29_L001_R1_001.fastq.gz
	26_HTH_FR_3_CEM	26_HTH_FR_3_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	26_HTH_FR_3_CEM_S30_L001_R1_001.fastq.gz
	27_HTH_FR_4_CEM	27_HTH_FR_4_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	27_HTH_FR_4_CEM_S31_L001_R1_001.fastq.gz
	28_AOM_CT_4_COP	28_AOM_CT_4_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	28_AOM_CT_4_COP_S32_L001_R1_001.fastq.gz
	29_AOM_CT_5_COP	29_AOM_CT_5_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	29_AOM_CT_5_COP_S33_L001_R1_001.fastq.gz
	30_AOM_CT_6_COP	30_AOM_CT_6_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	30_AOM_CT_6_COP_S34_L001_R1_001.fastq.gz
	31_AOM_CT_7_COP	31_AOM_CT_7_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	31_AOM_CT_7_COP_S37_L001_R1_001.fastq.gz
	32_AOM_CT_8_COP	32_AOM_CT_8_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	32_AOM_CT_8_COP_S38_L001_R1_001.fastq.gz
	33_AOM_CT_9_COP	33_AOM_CT_9_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	33_AOM_CT_9_COP_S39_L001_R1_001.fastq.gz
	34_AOM_CT_10_COP	34_AOM_CT_10_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	34_AOM_CT_10_COP_S40_L001_R1_001.fastq.gz
	35_AOM_CT_11_COP	35_AOM_CT_11_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	35_AOM_CT_11_COP_S41_L001_R1_001.fastq.gz
	36_AOM_CT_12_COP	36_AOM_CT_12_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	36_AOM_CT_12_COP_S42_L001_R1_001.fastq.gz
	37_AOM_CT_13_COP	37_AOM_CT_13_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	37_AOM_CT_13_COP_S43_L001_R1_001.fastq.gz
	38_AOM_CT_14_COP	38_AOM_CT_14_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	38_AOM_CT_14_COP_S44_L001_R1_001.fastq.gz
	39_AOM_CT_15_COP	39_AOM_CT_15_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	39_AOM_CT_15_COP_S45_L001_R1_001.fastq.gz
	40_AOM_CT_15_COP	40_AOM_CT_15_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	40_AOM_CT_15_COP_S46_L001_R1_001.fastq.gz
	41_AOM_CT_16_COP	41_AOM_CT_16_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	41_AOM_CT_16_COP_S49_L001_R1_001.fastq.gz
	42_AOM_CT_17_COP	42_AOM_CT_17_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	42_AOM_CT_17_COP_S50_L001_R1_001.fastq.gz
	43_AOM_CT_18_COP	43_AOM_CT_18_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	43_AOM_CT_18_COP_S51_L001_R1_001.fastq.gz
	44_AOM_CT_4_COD	44_AOM_CT_4_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	44_AOM_CT_4_COD_S52_L001_R1_001.fastq.gz
	45_AOM_CT_5_COD	45_AOM_CT_5_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	45_AOM_CT_5_COD_S53_L001_R1_001.fastq.gz
	46_AOM_CT_6_COD	46_AOM_CT_6_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	46_AOM_CT_6_COD_S54_L001_R1_001.fastq.gz
	47_AOM_CT_7_COD	47_AOM_CT_7_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	47_AOM_CT_7_COD_S55_L001_R1_001.fastq.gz
	48_AOM_CT_8_COD	48_AOM_CT_8_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	48_AOM_CT_8_COD_S56_L001_R1_001.fastq.gz
	49_AOM_CT_9_COD	49_AOM_CT_9_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	49_AOM_CT_9_COD_S57_L001_R1_001.fastq.gz
	50_AOM_CT_10_COD	50_AOM_CT_10_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	50_AOM_CT_10_COD_S58_L001_R1_001.fastq.gz
	51_AOM_CT_11_COD	51_AOM_CT_11_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	51_AOM_CT_11_COD_S59_L001_R1_001.fastq.gz
	52_AOM_CT_12_COD	52_AOM_CT_12_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	52_AOM_CT_12_COD_S60_L001_R1_001.fastq.gz
	53_AOM_CT_13_COD	53_AOM_CT_13_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	53_AOM_CT_13_COD_S61_L001_R1_001.fastq.gz
	54_AOM_CT_14_COD	54_AOM_CT_14_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	54_AOM_CT_14_COD_S62_L001_R1_001.fastq.gz
	55_AOM_CT_15_COD	55_AOM_CT_15_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	55_AOM_CT_15_COD_S63_L001_R1_001.fastq.gz
	56_AOM_CT_16_COD	56_AOM_CT_16_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	56_AOM_CT_16_COD_S64_L001_R1_001.fastq.gz
	57_AOM_CT_17_COD	57_AOM_CT_17_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	57_AOM_CT_17_COD_S65_L001_R1_001.fastq.gz
